date,campaign_id,campaign_name,channel,region,device,age_group,impressions,clicks,leads,conversions,spend,revenue
2025-06-16,CMP-1003,New Customer Acquisition,Facebook Ads,Central,Tablet,45-54,4710,114,4,3,156.18,356.01
2025-05-13,CMP-1003,New Customer Acquisition,Facebook Ads,West,Tablet,55+,4509,124,7,4,142.68,297.64
2025-04-04,CMP-1008,Display Remarketing,Google Ads,North,Tablet,45-54,837,35,4,2,93.61,277.3
2025-02-13,CMP-1002,Retargeting - Cart Abandoners,Facebook Ads,South,,45-54,2163,45,,1,55.85,71.18
2025-01-05,CMP-1009,Influencer Collab Push,Instagram Ads,Central,Desktop,35-44,5018,134,3,2,169.8,180.92
2025-03-27,CMP-1010,Story Ads - Product Launch,Instagram Ads,South,Tablet,55+,1588,54,3,2,48.21,102.74
2025-05-16,CMP-1001,Summer Sale Blast,Facebook Ads,South,Tablet,45-54,7699,251,20,11,354.08,1231.34
2025-04-14,CMP-1007,Shopping Campaign,Google Ads,West,Tablet,55+,7238,249,16,13,351.44,16781.7152
2025-01-29,CMP-1014,VIP Customer Offers,Email Marketing,West,Tablet,18-24,10542,1186,133,76,154.3,4482.48
2025-03-16,CMP-1017,Sponsored Content - Whitepaper,LinkedIn Ads,West,Tablet,35-44,2380,35,3,2,132.21,564.24
2025-03-04,CMP-1014,VIP Customer Offers,Email Marketing,West,Tablet,45-54,8199,1070,168,94,107.07,5364.58
2025-03-06,CMP-1020,Gen Z Engagement Drive,TikTok Ads,East,Desktop,18-24,2007,54,1,0,45.38,0
2025-01-05,CMP-1005,Search - Brand Terms,Google Ads,South,Desktop,18-24,4086,170,20,14,291.28,2086.98
2025-02-07,CMP-1023,Coupon Site Partnerships,Affiliate Marketing,East,Desktop,25-34,30660,325,18,11,156.35,1062.93
2025-05-15,CMP-1009,Influencer Collab Push,Instagram Ads,South,Mobile,45-54,4912,168,8,6,215.51,522
2025-04-25,CMP-1022,Top Tier Affiliates,Affiliate Marketing,South,Tablet,45-54,9038,235,15,11,211.76,729.96
2025-04-11,CMP-1021,Viral Challenge Sponsorship,TikTok Ads,South,Tablet,45-54,11304,312,8,4,293.65,234.48
2025-04-20,CMP-1014,VIP Customer Offers,Email Marketing,Central,Desktop,35-44,12502,1079,150,121,140.3,10902.1
2025-01-31,CMP-1012,Weekly Newsletter,email marketing,South,Desktop,25-34,20161,1748,236,142,174.8,11259.18
2025-03-29,CMP-1011,Carousel - Best Sellers,Instagram Ads,North,Tablet,55+,3518,133,6,4,163.95,306.68
2025-05-28,CMP-1022,Top Tier Affiliates,Affiliate Marketing,Central,Mobile,25-34,16054,472,32,20,316.85,1644.6
2025-01-29,CMP-1009,Influencer Collab Push,Instagram Ads,West,Mobile,18-24,16284,298,11,9,241.88,927.81
2025-02-04,CMP-1020,Gen Z Engagement Drive,TikTok Ads,North,Mobile,35-44,3201,97,4,2,66.08,167.68
2025-05-04,CMP-1018,Pre-roll - Product Demo,YouTube Ads,Central,Desktop,18-24,10204,249,7,5,237.49,575.6
2025-05-02,CMP-1003,New Customer Acquisition,Facebook Ads,South,Mobile,45-54,4567,153,9,6,153.12,454.8
2025-01-21,CMP-1015,Win-back Campaign,Email Marketing,South,Mobile,35-44,27943,3370,558,394,235.96,33572.74
2025-04-21,CMP-1001,Summer Sale Blast,Facebook Ads,East,Desktop,55+,11062,354,19,12,301.1,1179.12
2025-02-28,CMP-1002,Retargeting - Cart Abandoners,Facebook Ads,South,Mobile,55+,2324,63,2,2,74.68,159.62
2025-05-19,CMP-1014,VIP Customer Offers,Email Marketing,Central,Tablet,18-24,13592,1381,217,131,151.93,8735.08
2025-04-11,CMP-1018,Pre-roll - Product Demo,YouTube Ads,East,,35-44,11050,221,8,5,186.02,625.2
2025-01-18,CMP-1004,Brand Awareness Q2,Facebook Ads,South,Mobile,25-34,2683,62,4,2,94.73,188.24
2025-04-19,CMP-1018,Pre-roll - Product Demo,youtube ads,East,Mobile,45-54,11189,207,4,3,242.9,385.65
2025-05-02,CMP-1006,Search - Generic Terms,Google Ads,West,Mobile,18-24,4770,135,,7,224.56,716.1
2025-05-19,CMP-1018,Pre-roll - Product Demo,YouTube Ads,Central,Mobile,18-24,14650,293,8,6,281.38,740.64
2025-02-07,CMP-1015,Win-back Campaign,Email Marketing,Central,Tablet,25-34,25264,2438,395,255,195.09,22225.8
2025-01-24,CMP-1012,Weekly Newsletter,Email Marketing,East,Desktop,45-54,17116,2458,291,218,245.9,12868.54
2025-02-18,CMP-1021,Viral Challenge Sponsorship,TikTok Ads,West,Tablet,25-34,18201,688,23,13,302.83,1155.96
2025-05-31,CMP-1007,Shopping Campaign,Google Ads,Central,Tablet,25-34,9387,291,36,21,740.13,2617.44
2025-03-09,CMP-1018,Pre-roll - Product Demo,YouTube Ads,West,Mobile,35-44,32641,346,9,5,245.74,598.1
2025-03-15,CMP-1020,Gen Z Engagement Drive,TikTok Ads,South,Mobile,55+,2762,71,2,1,39.39,63.93
2025-02-14,CMP-1019,Bumper Ads - Brand Awareness,YouTube Ads,South,Mobile,55+,36074,386,,4,370.88,479.72
2025-01-08,CMP-1023,Coupon Site Partnerships,Affiliate Marketing,West,Mobile,25-34,8432,199,14,11,-155.22,1216.27
2025-03-07,CMP-1014,VIP Customer Offers,Email Marketing,West,Tablet,55+,6984,1047,98,74,115.21,5797.16
2025-06-15,CMP-1016,B2B Lead Gen - Enterprise,LinkedIn Ads,East,Tablet,45-54,9859,70,9,7,444.03,2015.09
2025-02-20,CMP-1018,Pre-roll - Product Demo,YouTube Ads,South,Mobile,35-44,27079,306,7,6,183.9,474.96
2025-04-19,CMP-1009,Influencer Collab Push,instagram ads,North,Desktop,55+,3296,120,6,4,141.38,338.64
2025-03-25,CMP-1020,Gen Z Engagement Drive,TikTok Ads,East,Mobile,18-24,2189,90,2,1,62.23,61.31
2025-03-07,CMP-1006,Search - Generic Terms,Google Ads,North,Desktop,35-44,4384,171,16,9,294.98,1238.22
2025-03-21,CMP-1013,Abandoned Cart Sequence,Email Marketing,North,Tablet,35-44,5760,477,49,41,43.01,3360.36
2025-05-27,CMP-1007,Shopping Campaign,Google Ads,West,Mobile,55+,3662,219,25,17,397.22,1407.94
2025-02-07,CMP-1001,Summer Sale Blast,Facebook Ads,South,Tablet,55+,4918,151,10,6,271.56,560.52
2025-02-05,CMP-1007,Shopping Campaign,Google Ads,South,Tablet,25-34,2175,114,9,6,295,482.52
2025-04-26,CMP-1002,Retargeting - Cart Abandoners,Facebook Ads,South,Desktop,55+,1125,35,,1,55.97,84.45
2025-06-04,CMP-1015,Win-back Campaign,Email Marketing,North,Mobile,25-34,72489,7191,2031,1337,503.39,126333.13
2025-06-20,CMP-1017,Sponsored Content - Whitepaper,LinkedIn Ads,East,Mobile,18-24,2923,19,0,0,123.11,0
2025-01-31,CMP-1018,Pre-roll - Product Demo,YouTube Ads,West,Desktop,25-34,17450,356,4,3,210.46,358.86
2025-03-11,CMP-1004,Brand Awareness Q2,Facebook Ads,West,Mobile,18-24,6112,184,9,6,159.08,683.52
2025-01-19,CMP-1006,Search - Generic Terms,Google Ads,South,Desktop,18-24,6624,263,17,11,318.81,1318.02
2025-06-22,CMP-1001,Summer Sale Blast,Facebook Ads,West,Mobile,35-44,7000,189,8,6,298.03,707.1
2025-01-16,CMP-1017,Sponsored Content - Whitepaper,LinkedIn Ads,North,Mobile,55+,4166,25,1,1,165.26,313.26
2025-05-18,CMP-1007,Shopping Campaign,Google Ads,Central,Tablet,18-24,7669,237,16,10,422.21,962.3
2025-04-01,CMP-1011,Carousel - Best Sellers,Instagram Ads,West,Desktop,35-44,2228,84,2,2,92.06,108.86
2025-06-15,CMP-1020,Gen Z Engagement Drive,TikTok Ads,East,Tablet,18-24,3317,69,1,1,64.31,45.31
2025-06-13,CMP-1004,Brand Awareness Q2,facebook ads,West,Mobile,55+,9761,164,7,6,187.69,438.18
2025-06-16,CMP-1017,Sponsored Content - Whitepaper,LinkedIn Ads,West,Tablet,25-34,4794,35,2,1,125.78,224.37
2025-02-16,CMP-1001,Summer Sale Blast,Facebook Ads,East,Mobile,45-54,10109,184,7,4,313.87,399.64
2025-04-25,CMP-1009,Influencer Collab Push,Instagram Ads,East,Tablet,55+,7690,263,7,4,202.96,308.44
2025-05-28,CMP-1005,Search - Brand Terms,Google Ads,East,Mobile,45-54,2446,115,13,9,234.32,1283.94
2025-01-27,CMP-1005,Search - Brand Terms,Google Ads,South,Mobile,18-24,2359,139,21,11,257.21,965.8
2025-01-15,CMP-1010,Story Ads - Product Launch,Instagram Ads,Central,Tablet,55+,1750,59,2,2,56.73,148.28
2025-02-08,CMP-1010,Story Ads - Product Launch,Instagram Ads,East,Desktop,25-34,2672,58,1,1,46.46,55.38
2025-01-26,CMP-1015,Win-back Campaign,Email Marketing,West,Tablet,55+,25518,3792,557,343,341.29,32814.81
2025-03-19,CMP-1003,New Customer Acquisition,facebook ads,West,Mobile,18-24,2869,99,4,3,176.95,312.96
2025-05-10,CMP-1001,Summer Sale Blast,Facebook Ads,North,Mobile,45-54,8507,285,18,11,293.78,935.33
2025-04-05,CMP-1022,Top Tier Affiliates,Affiliate Marketing,South,Tablet,45-54,22459,557,33,19,278.62,1894.49
2025-06-23,CMP-1003,New Customer Acquisition,Facebook Ads,South,Desktop,25-34,3468,120,6,3,107.05,338.19
2025-01-01,CMP-1021,Viral Challenge Sponsorship,TikTok Ads,West,Desktop,25-34,11994,457,19,12,329.13,625.8
2025-03-30,CMP-1002,Retargeting - Cart Abandoners,Facebook Ads,North,Tablet,25-34,1671,53,1,1,43.53,119.92
2025-01-03,CMP-1013,Abandoned Cart Sequence,Email Marketing,West,Mobile,55+,4776,512,86,51,51.21,4467.09
2025-04-10,CMP-1019,Bumper Ads - Brand Awareness,YouTube Ads,Central,Tablet,18-24,21666,338,7,6,317.8,737.52
2025-04-19,CMP-1007,Shopping Campaign,Google Ads,North,Desktop,55+,2643,106,10,6,280.83,445.02
2025-01-23,CMP-1003,New Customer Acquisition,Facebook Ads,Central,Tablet,25-34,2636,82,2,2,120.08,191.94
2025-03-02,CMP-1004,Brand Awareness Q2,Facebook Ads,North,Tablet,35-44,5444,147,6,4,125.06,402
2025-04-12,CMP-1002,Retargeting - Cart Abandoners,Facebook Ads,East,Tablet,35-44,1182,35,2,1,50.67,102.74
2025-06-25,CMP-1020,Gen Z Engagement Drive,TikTok Ads,South,Mobile,55+,2936,69,1,1,44.07,55.28
2025-01-09,CMP-1021,Viral Challenge Sponsorship,TikTok Ads,West,Mobile,25-34,16297,383,7,4,256.84,332.84
2025-03-26,CMP-1002,Retargeting - Cart Abandoners,Facebook Ads,East,Tablet,35-44,2142,45,1,1,56.98,80.27
2025-06-27,CMP-1019,Bumper Ads - Brand Awareness,YouTube Ads,East,Mobile,25-34,22014,306,5,4,352.8,395.92
2025-01-04,CMP-1014,VIP Customer Offers,Email Marketing,North,Mobile,25-34,14174,1674,288,165,150.71,15213
2025-06-18,CMP-1019,Bumper Ads - Brand Awareness,YouTube Ads,East,Mobile,25-34,16563,376,6,4,301.49,404.12
2025-04-26,CMP-1022,Top Tier Affiliates,Affiliate Marketing,West,Tablet,25-34,26456,545,,23,370.72,2013.19
2025-04-04,CMP-1020,Gen Z Engagement Drive,TikTok Ads,Central,Desktop,18-24,2196,56,1,1,54.84,52.4
2025-03-07,CMP-1003,New Customer Acquisition,Facebook Ads,North,Mobile,55+,3402,115,8,5,152.7,533.3
2025-02-25,CMP-1022,Top Tier Affiliates,Affiliate Marketing,Central,Tablet,18-24,27724,524,44,30,377.78,2129.4
2025-04-11,CMP-1020,Gen Z Engagement Drive,TikTok Ads,East,Desktop,18-24,2850,118,1,1,60.68,51.8
2025-06-14,CMP-1017,Sponsored Content - Whitepaper,LinkedIn Ads,East,Desktop,55+,2561,31,3,2,195.52,687.94
2025-01-08,CMP-1019,Bumper Ads - Brand Awareness,YouTube Ads,Central,Desktop,18-24,21747,535,13,9,412.22,1122.3
2025-03-17,CMP-1023,Coupon Site Partnerships,Affiliate Marketing,South,Tablet,55+,19847,391,30,23,215.18,3020.36
2025-01-05,CMP-1010,Story Ads - Product Launch,Instagram Ads,East,Mobile,18-24,2173,65,2,1,74.48,91.06
2025-06-05,CMP-1003,New Customer Acquisition,Facebook Ads,East,Desktop,25-34,6866,149,21,11,224.88,1043.79
2025-01-04,CMP-1007,Shopping Campaign,Google Ads,East,Mobile,18-24,5515,182,10,8,275.43,901.84
2025-02-20,CMP-1004,Brand Awareness Q2,Facebook Ads,South,Tablet,18-24,3376,78,2,2,119.7,147.72
2025-05-17,CMP-1005,Search - Brand Terms,Google Ads,Central,Desktop,35-44,2470,145,17,11,377.59,1179.86
2025-03-12,CMP-1002,Retargeting - Cart Abandoners,Facebook Ads,West,Tablet,18-24,4000,64,2,1,52.5,68.51
2025-02-16,CMP-1011,Carousel - Best Sellers,Instagram Ads,West,Mobile,18-24,2770,82,3,1,116,62.6
2025-05-07,CMP-1015,Win-back Campaign,Email Marketing,South,Mobile,25-34,17702,2073,200,135,228.12,11560.05
2025-02-04,CMP-1007,Shopping Campaign,Google Ads,East,Tablet,55+,10373,333,34,20,434.03,2433.6
2025-02-13,CMP-1008,Display Remarketing,Google Ads,North,Tablet,18-24,1423,79,8,4,95.21,576
2025-03-23,CMP-1002,Retargeting - Cart Abandoners,Facebook Ads,West,Mobile,35-44,1676,29,1,0,51.36,0
2025-03-19,CMP-1013,Abandoned Cart Sequence,Email Marketing,South,Tablet,35-44,8343,987,83,62,69.12,5270.62
2025-05-16,CMP-1010,Story Ads - Product Launch,Instagram Ads,South,Desktop,55+,1814,43,2,1,56.24,62.26
2025-04-16,CMP-1002,Retargeting - Cart Abandoners,Facebook Ads,North,Mobile,35-44,1942,67,2,1,75.07,110.87
2025-06-29,CMP-1005,Search - Brand Terms,Google Ads,Central,Mobile,35-44,4270,123,13,9,321.61,1112.4
2025-05-19,CMP-1015,Win-back Campaign,Email Marketing,West,Desktop,25-34,21701,2589,426,246,233.07,24127.68
2025-04-22,CMP-1007,Shopping Campaign,Google Ads,South,Desktop,55+,4013,183,12,7,314.12,815.64
2025-05-19,CMP-1009,Influencer Collab Push,Instagram Ads,West,Desktop,45-54,4618,133,5,3,154.33,281.04
2025-05-02,CMP-1001,Summer Sale Blast,Facebook Ads,Central,Tablet,18-24,12523,263,,7,295.3,442.19
2025-03-23,CMP-1001,Summer Sale Blast,Facebook Ads,Central,Mobile,55+,6927,221,11,7,285.63,799.05
2025-06-07,CMP-1009,Influencer Collab Push,Instagram Ads,South,Mobile,35-44,6048,199,14,11,243.6,651.64
2025-06-15,CMP-1004,Brand Awareness Q2,Facebook Ads,East,Tablet,18-24,14827,258,13,10,260.66,961.2
2025-05-19,CMP-1004,Brand Awareness Q2,Facebook Ads,North,Desktop,55+,4712,82,3,3,104.4,240.24
2025-01-30,CMP-1012,Weekly Newsletter,Email Marketing,West,Tablet,35-44,34898,4111,553,353,246.67,21102.34
2025-01-16,CMP-1008,Display Remarketing,Google Ads,North,Desktop,18-24,1097,64,8,5,95.88,570.05
2025-03-27,CMP-1021,Viral Challenge Sponsorship,TikTok Ads,South,Tablet,55+,12035,479,20,12,302.15,480.72
2025-01-29,CMP-1017,Sponsored Content - Whitepaper,LinkedIn Ads,Central,Mobile,35-44,3608,35,,1,132.01,348.07
2025-03-26,CMP-1007,Shopping Campaign,Google Ads,West,Mobile,45-54,4421,191,19,13,315.29,1554.8
2025-05-16,CMP-1016,B2B Lead Gen - Enterprise,LinkedIn Ads,West,Tablet,18-24,2936,37,2,1,178.82,198.9
2025-06-13,CMP-1017,Sponsored Content - Whitepaper,LinkedIn Ads,West,Desktop,18-24,3263,47,7,4,206.14,1105.08
2025-03-13,CMP-1021,Viral Challenge Sponsorship,TikTok Ads,East,Tablet,45-54,9561,371,13,9,326.78,624.24
2025-02-08,CMP-1017,Sponsored Content - Whitepaper,LinkedIn Ads,West,Tablet,35-44,3152,29,2,1,148.67,150.2
2025-06-20,CMP-1021,Viral Challenge Sponsorship,TikTok Ads,North,Tablet,55+,11428,320,15,9,240.73,797.13
2025-06-29,CMP-1002,Retargeting - Cart Abandoners,Facebook Ads,South,Desktop,35-44,2095,35,1,1,63,86.21
2025-05-08,CMP-1013,Abandoned Cart Sequence,Email Marketing,East,Tablet,55+,4636,479,75,56,67.1,3557.68
2025-04-09,CMP-1004,Brand Awareness Q2,Facebook Ads,North,Mobile,55+,2218,75,4,3,104.11,195.21
2025-03-13,CMP-1002,Retargeting - Cart Abandoners,Facebook Ads,Central,Desktop,35-44,4393,76,4,3,73.98,339.57
2025-06-06,CMP-1002,Retargeting - Cart Abandoners,Facebook Ads,Central,Desktop,45-54,1929,49,5,3,84.85,220.14
2025-03-16,CMP-1019,Bumper Ads - Brand Awareness,YouTube Ads,South,Mobile,45-54,20780,293,4,3,272.57,182.55
2025-01-26,CMP-1006,Search - Generic Terms,Google Ads,South,Mobile,45-54,2669,118,9,6,282.68,628.56
2025-04-26,CMP-1019,Bumper Ads - Brand Awareness,YouTube Ads,East,Mobile,25-34,30670,549,14,10,296.51,725.5
2025-02-28,CMP-1010,Story Ads - Product Launch,Instagram Ads,South,Tablet,45-54,1204,33,1,0,47.27,0
2025-03-29,CMP-1014,VIP Customer Offers,Email Marketing,West,Desktop,35-44,6703,789,61,50,110.53,3965
2025-02-18,CMP-1013,Abandoned Cart Sequence,Email Marketing,East,Desktop,45-54,2519,287,22,18,43.1,1240.02
2025-02-27,CMP-1013,Abandoned Cart Sequence,email marketing,East,Desktop,55+,2878,390,43,27,46.9,1864.35
2025-04-18,CMP-1017,Sponsored Content - Whitepaper,linkedin ads,North,Mobile,55+,4020,39,2,2,154.27,605.96
2025-06-19,CMP-1007,Shopping Campaign,Google Ads,North,Desktop,35-44,5339,228,21,13,463.01,1928.68
2025-06-14,CMP-1018,Pre-roll - Product Demo,YouTube Ads,South,Tablet,45-54,40567,787,22,18,464.83,2140.92
2025-06-12,CMP-1001,Summer Sale Blast,Facebook Ads,South,,18-24,19067,368,16,12,412.66,952.8
2025-06-13,CMP-1020,Gen Z Engagement Drive,TikTok Ads,West,Mobile,18-24,8101,192,5,4,94.51,190.28
2025-04-12,CMP-1005,Search - Brand Terms,Google Ads,South,Desktop,45-54,3953,136,9,7,263.13,610.33
2025-06-21,CMP-1002,Retargeting - Cart Abandoners,Facebook Ads,East,Desktop,18-24,1722,46,1,1,50.74,112.24
2025-02-07,CMP-1005,Search - Brand Terms,Google Ads,East,Desktop,45-54,5442,295,25,18,357.47,1506.6
2025-03-06,CMP-1001,Summer Sale Blast,Facebook Ads,South,Mobile,45-54,7281,225,13,11,323.05,1078.88
2025-01-05,CMP-1003,New Customer Acquisition,Facebook Ads,West,Tablet,45-54,2113,67,3,2,102.61,223.84
2025-01-10,CMP-1009,Influencer Collab Push,Instagram Ads,North,Desktop,55+,5723,174,5,4,198.82,279.48
2025-03-24,CMP-1002,Retargeting - Cart Abandoners,Facebook Ads,East,Desktop,18-24,2112,49,1,1,61.66,73.23
2025-01-23,CMP-1015,Win-back Campaign,Email Marketing,West,Tablet,18-24,23575,2143,249,142,235.79,12128.22
2025-01-09,CMP-1019,Bumper Ads - Brand Awareness,YouTube Ads,East,Tablet,55+,16081,238,8,5,262.04,439.55
2025-02-27,CMP-1020,Gen Z Engagement Drive,TikTok Ads,Central,Desktop,55+,1314,46,1,1,37.73,50.46
2025-04-03,CMP-1011,Carousel - Best Sellers,Instagram Ads,East,Mobile,18-24,5903,134,3,2,98.13,216.68
2025-01-22,CMP-1020,Gen Z Engagement Drive,TikTok Ads,Central,Desktop,55+,3367,98,2,1,58.16,52.68
2025-01-18,CMP-1018,Pre-roll - Product Demo,YouTube Ads,Central,Desktop,45-54,16842,288,4,3,268.59,322.95
2025-03-23,CMP-1005,Search - Brand Terms,Google Ads,East,Tablet,25-34,3015,136,19,11,227.41,1168.75
2025-02-15,CMP-1014,VIP Customer Offers,Email Marketing,Central,Tablet,55+,14912,1964,389,229,137.5,21665.69
2025-02-13,CMP-1013,Abandoned Cart Sequence,Email Marketing,North,Desktop,55+,2291,343,60,40,44.6,3813.6
2025-04-06,CMP-1019,Bumper Ads - Brand Awareness,YouTube Ads,Central,Desktop,18-24,37931,440,8,5,370.03,410.35
2025-04-07,CMP-1012,Weekly Newsletter,Email Marketing,West,Mobile,35-44,20584,2641,280,163,211.31,9207.87
2025-03-16,CMP-1015,Win-back Campaign,Email Marketing,Central,Desktop,35-44,50178,4782,530,436,239.11,31893.4
2025-05-03,CMP-1019,Bumper Ads - Brand Awareness,YouTube Ads,North,Desktop,18-24,36136,477,7,5,406.29,490.55
2025-02-13,CMP-1007,Shopping Campaign,Google Ads,Central,Mobile,35-44,6361,229,16,11,401.79,1120.68
2025-05-16,CMP-1021,Viral Challenge Sponsorship,TikTok Ads,Central,Tablet,45-54,26050,719,17,11,381.32,582.01
2025-03-15,CMP-1013,Abandoned Cart Sequence,Email Marketing,West,Tablet,25-34,8359,953,106,62,76.32,4026.28
2025-04-24,CMP-1011,Carousel - Best Sellers,Instagram Ads,South,Tablet,55+,3216,101,5,3,102.92,258.15
2025-06-20,CMP-1004,Brand Awareness Q2,Facebook Ads,North,Tablet,55+,6200,124,4,3,123.08,232.53
2025-04-01,CMP-1014,VIP Customer Offers,Email Marketing,Central,Mobile,45-54,10156,1362,181,120,149.9,6681.6
2025-06-17,CMP-1007,Shopping Campaign,Google Ads,South,Mobile,45-54,4820,242,35,20,383.93,2312
2025-04-06,CMP-1006,Search - Generic Terms,Google Ads,Central,Desktop,25-34,1781,98,10,7,232.88,892.71
2025-04-12,CMP-1012,Weekly Newsletter,Email Marketing,East,Tablet,25-34,32274,2724,283,193,217.99,13270.68
2025-04-18,CMP-1002,Retargeting - Cart Abandoners,Facebook Ads,Central,Mobile,45-54,1407,39,1,1,62.12,106.49
2025-01-29,CMP-1011,Carousel - Best Sellers,Instagram Ads,West,Tablet,45-54,3063,102,6,3,153.86,231.78
2025-03-21,CMP-1020,Gen Z Engagement Drive,TikTok Ads,South,Tablet,18-24,2421,77,2,2,-56.78,99.38
2025-02-16,CMP-1009,Influencer Collab Push,Instagram Ads,Central,Mobile,45-54,7015,228,7,5,159.93,334.05
2025-05-27,CMP-1010,Story Ads - Product Launch,Instagram Ads,North,Tablet,25-34,2355,57,2,1,58.91,93.47
2025-02-25,CMP-1010,Story Ads - Product Launch,Instagram Ads,North,Tablet,18-24,1326,52,2,1,58.25,63.07
2025-01-12,CMP-1015,Win-back Campaign,Email Marketing,East,Tablet,18-24,59107,4770,502,335,286.23,24967.55
2025-02-19,CMP-1018,Pre-roll - Product Demo,YouTube Ads,North,Tablet,45-54,24869,286,5,3,323.56,198.81
2025-02-09,CMP-1006,Search - Generic Terms,Google Ads,East,,45-54,4820,121,11,7,317.94,854
2025-01-21,CMP-1008,Display Remarketing,Google Ads,East,Tablet,25-34,1192,39,5,3,57.79,413.88
2025-03-11,CMP-1018,Pre-roll - Product Demo,YouTube Ads,West,Mobile,35-44,13489,317,12,7,260.73,452.76
2025-03-08,CMP-1006,Search - Generic Terms,Google Ads,Central,Tablet,35-44,3042,181,10,7,217.22,661.5
2025-06-10,CMP-1001,Summer Sale Blast,Facebook Ads,Central,Tablet,55+,10836,259,27,18,462.72,1918.8
